No,Year,Order,Name,Judge,Score
1,2001,1,中川家,きよし,91
1,2001,1,中川家,青島,90
1,2001,1,中川家,小朝,90
1,2001,1,中川家,石井,90
1,2001,1,中川家,鴻上,85
1,2001,1,中川家,松本,70
1,2001,1,中川家,紳助,80
1,2001,1,中川家,札幌,65
1,2001,1,中川家,大阪,89
1,2001,1,中川家,福岡,79
1,2001,2,フットボールアワー,きよし,90
1,2001,2,フットボールアワー,青島,80
1,2001,2,フットボールアワー,小朝,80
1,2001,2,フットボールアワー,石井,82
1,2001,2,フットボールアワー,鴻上,82
1,2001,2,フットボールアワー,松本,55
1,2001,2,フットボールアワー,紳助,66
1,2001,2,フットボールアワー,札幌,62
1,2001,2,フットボールアワー,大阪,83
1,2001,2,フットボールアワー,福岡,46
1,2001,3,チュートリアル,きよし,80
1,2001,3,チュートリアル,青島,75
1,2001,3,チュートリアル,小朝,75
1,2001,3,チュートリアル,石井,68
1,2001,3,チュートリアル,鴻上,75
1,2001,3,チュートリアル,松本,50
1,2001,3,チュートリアル,紳助,60
1,2001,3,チュートリアル,札幌,38
1,2001,3,チュートリアル,大阪,67
1,2001,3,チュートリアル,福岡,49
1,2001,4,アメリカザリガニ,きよし,88
1,2001,4,アメリカザリガニ,青島,85
1,2001,4,アメリカザリガニ,小朝,80
1,2001,4,アメリカザリガニ,石井,92
1,2001,4,アメリカザリガニ,鴻上,84
1,2001,4,アメリカザリガニ,松本,65
1,2001,4,アメリカザリガニ,紳助,74
1,2001,4,アメリカザリガニ,札幌,84
1,2001,4,アメリカザリガニ,大阪,57
1,2001,4,アメリカザリガニ,福岡,87
1,2001,5,おぎやはぎ,きよし,77
1,2001,5,おぎやはぎ,青島,80
1,2001,5,おぎやはぎ,小朝,75
1,2001,5,おぎやはぎ,石井,82
1,2001,5,おぎやはぎ,鴻上,73
1,2001,5,おぎやはぎ,松本,60
1,2001,5,おぎやはぎ,紳助,50
1,2001,5,おぎやはぎ,札幌,22
1,2001,5,おぎやはぎ,大阪,9
1,2001,5,おぎやはぎ,福岡,12
1,2001,6,キングコング,きよし,95
1,2001,6,キングコング,青島,75
1,2001,6,キングコング,小朝,70
1,2001,6,キングコング,石井,76
1,2001,6,キングコング,鴻上,83
1,2001,6,キングコング,松本,55
1,2001,6,キングコング,紳助,74
1,2001,6,キングコング,札幌,64
1,2001,6,キングコング,大阪,55
1,2001,6,キングコング,福岡,60
1,2001,7,麒麟,きよし,79
1,2001,7,麒麟,青島,75
1,2001,7,麒麟,小朝,65
1,2001,7,麒麟,石井,90
1,2001,7,麒麟,鴻上,83
1,2001,7,麒麟,松本,75
1,2001,7,麒麟,紳助,75
1,2001,7,麒麟,札幌,54
1,2001,7,麒麟,大阪,82
1,2001,7,麒麟,福岡,63
1,2001,8,ますだおかだ,きよし,95
1,2001,8,ますだおかだ,青島,80
1,2001,8,ますだおかだ,小朝,80
1,2001,8,ますだおかだ,石井,88
1,2001,8,ますだおかだ,鴻上,84
1,2001,8,ますだおかだ,松本,70
1,2001,8,ますだおかだ,紳助,78
1,2001,8,ますだおかだ,札幌,75
1,2001,8,ますだおかだ,大阪,52
1,2001,8,ますだおかだ,福岡,68
1,2001,9,DonDokoDon,きよし,75
1,2001,9,DonDokoDon,青島,85
1,2001,9,DonDokoDon,小朝,65
1,2001,9,DonDokoDon,石井,82
1,2001,9,DonDokoDon,鴻上,84
1,2001,9,DonDokoDon,松本,65
1,2001,9,DonDokoDon,紳助,64
1,2001,9,DonDokoDon,札幌,47
1,2001,9,DonDokoDon,大阪,18
1,2001,9,DonDokoDon,福岡,29
